"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","Early Under Vote","Early Over Vote","Election Under Vote","Election Over Votes","over votes","under votes"
186,"VILLAGE OF AMBERLEY For Member of Council (District A) (Vote For 1)","Monica Dolores Lira","",518,43.02,0,0,4,4,"19","0","191","0","0","0"
187,"VILLAGE OF AMBERLEY For Member of Council (District B) (Vote For 1)","Natalie Wolf","",804,100.00,0,0,4,4,"65","0","545","0","0","0"
188,"VILLAGE OF AMBERLEY For Member of Council (District C) (Vote For 1)","Thomas C. Muething","",839,100.00,0,0,4,4,"72","0","503","0","0","0"
189,"VILLAGE OF AMBERLEY For Member of Council (District D) (Vote For 1)","Ray Warren","",779,100.00,0,0,4,4,"76","0","559","0","0","0"
190,"VILLAGE OF AMBERLEY For Member of Council (District E) (Vote For 1)","Richard Bardach","",722,100.00,0,0,4,4,"82","0","610","0","0","0"
191,"VILLAGE OF AMBERLEY For Member of Council at Large (Vote For 2)","Elida Kamine","",819,32.73,0,0,4,4,"39","1","285","0","0","0"
192,"VILLAGE OF AMBERLEY For Member of Council at Large (Vote For 2)","Peg Conway","",732,29.26,0,0,4,4,"39","1","285","0","0","0"
193,"VILLAGE OF AMBERLEY For Member of Council at Large (Vote For 2)","Steve Cushard","",477,19.06,0,0,4,4,"39","1","285","0","0","0"
194,"VILLAGE OF AMBERLEY For Member of Council at Large (Vote For 2)","Colin Driscoll","",474,18.94,0,0,4,4,"39","1","285","0","0","0"
195,"VILLAGE OF ARLINGTON HEIGHTS For Mayor (Vote For 1)","Steven Crase","",83,100.00,0,0,1,1,"8","0","24","0","0","0"
196,"VILLAGE OF ARLINGTON HEIGHTS For Member of Council (Vote For 2)","Ana M. Gil","",76,39.79,0,0,1,1,"8","0","31","0","0","0"
197,"VILLAGE OF ARLINGTON HEIGHTS For Member of Council (Vote For 2)","Meroline McLemore","",64,33.51,0,0,1,1,"8","0","31","0","0","0"
198,"VILLAGE OF ARLINGTON HEIGHTS For Member of Council (Vote For 2)","LeTecia J. Cunningham","",51,26.70,0,0,1,1,"8","0","31","0","0","0"
199,"VILLAGE OF EVENDALE For Mayor (Vote For 1)","Richard H. Finan","",835,65.39,0,0,3,3,"0","0","26","0","0","0"
200,"VILLAGE OF EVENDALE For Mayor (Vote For 1)","Christian J. Schaefer","",442,34.61,0,0,3,3,"0","0","26","0","0","0"
201,"VILLAGE OF EVENDALE For Member of Council (Vote For 3)","Beth McDaniel","",818,26.46,0,0,3,3,"131","0","678","3","0","0"
202,"VILLAGE OF EVENDALE For Member of Council (Vote For 3)","Jeff Albrinck","",753,24.36,0,0,3,3,"131","0","678","3","0","0"
203,"VILLAGE OF EVENDALE For Member of Council (Vote For 3)","Thomas Patrick Sextro","",700,22.65,0,0,3,3,"131","0","678","3","0","0"
204,"VILLAGE OF EVENDALE For Member of Council (Vote For 3)","Wanda L. Walker-Smith","",428,13.85,0,0,3,3,"131","0","678","3","0","0"
205,"VILLAGE OF EVENDALE For Member of Council (Vote For 3)","Diane Cunningham Redden","",392,12.68,0,0,3,3,"131","0","678","3","0","0"
206,"VILLAGE OF FAIRFAX For Mayor (Vote For 1)","Carson L. Shelton","",223,54.66,0,0,1,1,"0","0","6","0","0","0"
207,"VILLAGE OF FAIRFAX For Mayor (Vote For 1)","Barbara E. Blankemeyer","",118,28.92,0,0,1,1,"0","0","6","0","0","0"
208,"VILLAGE OF FAIRFAX For Mayor (Vote For 1)","Walter Raines","",67,16.42,0,0,1,1,"0","0","6","0","0","0"
209,"VILLAGE OF FAIRFAX For Member of Council (Vote For 2)","Sharon R. Lally","",206,31.12,0,0,1,1,"8","0","156","1","0","0"
210,"VILLAGE OF FAIRFAX For Member of Council (Vote For 2)","Robert M. Ernst","",135,20.39,0,0,1,1,"8","0","156","1","0","0"
211,"VILLAGE OF FAIRFAX For Member of Council (Vote For 2)","Kevin S. Erickson","",128,19.34,0,0,1,1,"8","0","156","1","0","0"
212,"VILLAGE OF FAIRFAX For Member of Council (Vote For 2)","Janice Arthur","",98,14.80,0,0,1,1,"8","0","156","1","0","0"
213,"VILLAGE OF FAIRFAX For Member of Council (Vote For 2)","Bryce Storm","",95,14.35,0,0,1,1,"8","0","156","1","0","0"
214,"VILLAGE OF GLENDALE For Mayor (Vote For 1)","Donald A. Lofty","",707,100.00,0,0,2,2,"25","0","192","0","0","0"
215,"VILLAGE OF GLENDALE For Member of Council (Vote For 2)","Marilyn A. Duke","",604,39.63,0,0,2,2,"31","1","291","0","0","0"
216,"VILLAGE OF GLENDALE For Member of Council (Vote For 2)","Debbie Grueninger","",477,31.30,0,0,2,2,"31","1","291","0","0","0"
217,"VILLAGE OF GLENDALE For Member of Council (Vote For 2)","Joan Verchot","",443,29.07,0,0,2,2,"31","1","291","0","0","0"
218,"VILLAGE OF GOLF MANOR For Mayor (Vote For 1)","Stefan C. Densmore","",440,100.00,0,0,2,2,"24","0","159","0","0","0"
219,"VILLAGE OF GOLF MANOR For Member of Council (Vote For 2)","Danny Kneipp","",336,51.38,0,0,2,2,"81","0","511","0","0","0"
220,"VILLAGE OF GOLF MANOR For Member of Council (Vote For 2)","Roger D. Van Harn","",318,48.62,0,0,2,2,"81","0","511","0","0","0"
221,"VILLAGE OF GOLF MANOR For Member of Council (Unexpired term ending 12-12-2021) (Vote For 1)","Eric M. Pridonoff","",404,100.00,0,0,2,2,"32","0","187","0","0","0"
222,"VILLAGE OF LINCOLN HEIGHTS For Member of Council (Vote For 3)","Ruby Kinsey-Mumphrey","",334,46.39,0,0,2,2,"77","0","532","0","0","0"
223,"VILLAGE OF LINCOLN HEIGHTS For Member of Council (Vote For 3)","Kathy Goodwin-Williams","",224,31.11,0,0,2,2,"77","0","532","0","0","0"
224,"VILLAGE OF LINCOLN HEIGHTS For Member of Council (Vote For 3)","Phyllis Jean Baber","",162,22.50,0,0,2,2,"77","0","532","0","0","0"
225,"VILLAGE OF MARIEMONT For Mayor (Vote For 1)","Bill Brown","",620,100.00,0,0,2,2,"19","0","159","0","0","0"
226,"VILLAGE OF MARIEMONT For Member of Council (Vote For 2)","Marcy Lewis","",564,43.38,0,0,2,2,"46","0","250","0","0","0"
227,"VILLAGE OF MARIEMONT For Member of Council (Vote For 2)","Kelly I. Rankin","",561,43.15,0,0,2,2,"46","0","250","0","0","0"
228,"VILLAGE OF MARIEMONT For Member of Council (Vote For 2)","Michael J. Cain","",175,13.46,0,0,2,2,"46","0","250","0","0","0"
229,"VILLAGE OF NEWTOWN For Mayor (Vote For 1)","Mark Kobasuk","",549,73.69,0,0,2,2,"2","0","22","1","0","0"
230,"VILLAGE OF NEWTOWN For Mayor (Vote For 1)","Curt Tiettmeyer","",196,26.31,0,0,2,2,"2","0","22","1","0","0"
231,"VILLAGE OF NEWTOWN For Member of Council (Vote For 2)","Chuck Short","",453,52.98,0,0,2,2,"67","0","618","0","0","0"
232,"VILLAGE OF NEWTOWN For Member of Council (Vote For 2)","Daryl L. Zornes","",402,47.02,0,0,2,2,"67","0","618","0","0","0"
233,"VILLAGE OF NORTH BEND For Mayor (Vote For 1)","Douglas M. Sammons, Sr.","",217,100.00,0,0,1,1,"13","0","80","0","0","0"
234,"VILLAGE OF NORTH BEND For Member of Council (Vote For 2)","David L. Moorman","",200,51.95,0,0,1,1,"29","0","206","0","0","0"
235,"VILLAGE OF NORTH BEND For Member of Council (Vote For 2)","Frances R. Romweber","",185,48.05,0,0,1,1,"29","0","206","0","0","0"
236,"VILLAGE OF ST BERNARD For Mayor (Vote For 1)","Jonathan L. Stuchell","",612,55.14,0,0,4,4,"5","0","21","3","0","0"
237,"VILLAGE OF ST BERNARD For Mayor (Vote For 1)","Bill Burkhardt","",325,29.28,0,0,4,4,"5","0","21","3","0","0"
238,"VILLAGE OF ST BERNARD For Mayor (Vote For 1)","Jay Hausfeld","",129,11.62,0,0,4,4,"5","0","21","3","0","0"
239,"VILLAGE OF ST BERNARD For Mayor (Vote For 1)","Mikelluv J. Williams","",44,3.96,0,0,4,4,"5","0","21","3","0","0"
240,"VILLAGE OF ST BERNARD For Vice Mayor and President of Council (Vote For 1)","Steve Asbach","",816,100.00,0,0,4,4,"28","0","295","0","0","0"
241,"VILLAGE OF ST BERNARD For Auditor (Vote For 1)","Peggy Brickweg","",734,70.17,0,0,4,4,"6","0","87","0","0","0"
242,"VILLAGE OF ST BERNARD For Auditor (Vote For 1)","Mark J. Auer","",312,29.83,0,0,4,4,"6","0","87","0","0","0"
243,"VILLAGE OF ST BERNARD For Director of Law (Vote For 1)","Valerie L. Van Valkenburg-Walden","",712,100.00,0,0,4,4,"44","0","383","0","0","0"
244,"VILLAGE OF ST BERNARD For Member of Council at Large (Vote For 3)","Cindi Bedinghaus","",648,24.57,0,0,4,4,"51","0","717","4","0","0"
245,"VILLAGE OF ST BERNARD For Member of Council at Large (Vote For 3)","Patty Hausfeld","",565,21.43,0,0,4,4,"51","0","717","4","0","0"
246,"VILLAGE OF ST BERNARD For Member of Council at Large (Vote For 3)","Bob Culbertson","",560,21.24,0,0,4,4,"51","0","717","4","0","0"
247,"VILLAGE OF ST BERNARD For Member of Council at Large (Vote For 3)","John E. Metz","",438,16.61,0,0,4,4,"51","0","717","4","0","0"
248,"VILLAGE OF ST BERNARD For Member of Council at Large (Vote For 3)","Nicole R. Klungle","",426,16.15,0,0,4,4,"51","0","717","4","0","0"
249,"VILLAGE OF ST BERNARD For Member of Council (1st Ward) (Vote For 1)","Alan Siefert","",208,100.00,0,0,1,1,"10","0","79","0","0","0"
250,"VILLAGE OF ST BERNARD For Member of Council (2nd Ward) (Vote For 1)","Ray Culbertson","",198,100.00,0,0,1,1,"14","0","80","0","0","0"
251,"VILLAGE OF ST BERNARD For Member of Council (3rd Ward) (Vote For 1)","Donald Tobergte","",211,100.00,0,0,1,1,"8","0","74","0","0","0"
252,"VILLAGE OF ST BERNARD For Member of Council (4th Ward) (Vote For 1)","Christopher Schildmeyer","",179,100.00,0,0,1,1,"1","0","77","0","0","0"
253,"VILLAGE OF TERRACE PARK For Mayor (Vote For 1)","Tom Tepe, Jr.","",356,100.00,0,0,2,2,"10","0","68","0","0","0"
254,"VILLAGE OF TERRACE PARK For Member of Council (Vote For 2)","John A. Gaskey","",325,51.02,0,0,2,2,"24","0","207","0","0","0"
255,"VILLAGE OF TERRACE PARK For Member of Council (Vote For 2)","Pax J. Lindell","",312,48.98,0,0,2,2,"24","0","207","0","0","0"
256,"VILLAGE OF WOODLAWN For Mayor (Vote For 1)","Brian K. Poole","",450,64.47,0,0,2,2,"6","0","12","0","0","0"
257,"VILLAGE OF WOODLAWN For Mayor (Vote For 1)","Mary L. Hill","",248,35.53,0,0,2,2,"6","0","12","0","0","0"
258,"VILLAGE OF WOODLAWN For Member of Council (Vote For 3)","Kiana R. Trabue","",534,30.96,0,0,2,2,"77","0","343","1","0","0"
259,"VILLAGE OF WOODLAWN For Member of Council (Vote For 3)","Rosemary Brown","",369,21.39,0,0,2,2,"77","0","343","1","0","0"
260,"VILLAGE OF WOODLAWN For Member of Council (Vote For 3)","Esther Brown Boyd","",326,18.90,0,0,2,2,"77","0","343","1","0","0"
261,"VILLAGE OF WOODLAWN For Member of Council (Vote For 3)","Michelle G. Brown","",318,18.43,0,0,2,2,"77","0","343","1","0","0"
262,"VILLAGE OF WOODLAWN For Member of Council (Vote For 3)","Bersetha Ranson","",178,10.32,0,0,2,2,"77","0","343","1","0","0"
263,"TOWNSHIP OF ANDERSON For Township Trustee (Vote For 1)","Dee Stone","",7750,58.35,0,0,32,32,"127","2","1590","6","0","0"
264,"TOWNSHIP OF ANDERSON For Township Trustee (Vote For 1)","Marcus L. Thompson","",5533,41.65,0,0,32,32,"127","2","1590","6","0","0"
265,"TOWNSHIP OF ANDERSON For Township Fiscal Officer (Vote For 1)","Ken Dietz","",9846,100.00,0,0,32,32,"638","0","4524","0","0","0"
266,"TOWNSHIP OF COLERAIN For Township Trustee (Vote For 1)","Matt Wahlert","",5023,40.47,0,0,38,38,"95","12","1514","103","0","0"
267,"TOWNSHIP OF COLERAIN For Township Trustee (Vote For 1)","Joseph R. Wolterman","",3646,29.37,0,0,38,38,"95","12","1514","103","0","0"
268,"TOWNSHIP OF COLERAIN For Township Trustee (Vote For 1)","Todd L. Allen","",2774,22.35,0,0,38,38,"95","12","1514","103","0","0"
269,"TOWNSHIP OF COLERAIN For Township Trustee (Vote For 1)","Kylen R. Peck","",970,7.81,0,0,38,38,"95","12","1514","103","0","0"
270,"TOWNSHIP OF COLERAIN For Township Fiscal Officer (Vote For 1)","Jeff Baker","",7284,61.87,0,0,38,38,"187","0","2161","15","0","0"
271,"TOWNSHIP OF COLERAIN For Township Fiscal Officer (Vote For 1)","Emily Rentschler","",4490,38.13,0,0,38,38,"187","0","2161","15","0","0"
272,"TOWNSHIP OF COLUMBIA For Township Trustee (Vote For 1)","Chris Kritikos","",568,100.00,0,0,9,9,"55","0","229","0","0","0"
273,"TOWNSHIP OF COLUMBIA For Township Fiscal Officer (Vote For 1)","Caroline Heekin","",597,100.00,0,0,9,9,"51","0","204","0","0","0"
274,"TOWNSHIP OF CROSBY For Township Trustee (Vote For 1)","Doug Lohman","",367,42.28,0,0,3,3,"7","2","125","5","0","0"
275,"TOWNSHIP OF CROSBY For Township Trustee (Vote For 1)","Chuck Heis","",177,20.39,0,0,3,3,"7","2","125","5","0","0"
276,"TOWNSHIP OF CROSBY For Township Trustee (Vote For 1)","Walter George Schunk","",176,20.28,0,0,3,3,"7","2","125","5","0","0"
277,"TOWNSHIP OF CROSBY For Township Trustee (Vote For 1)","Craig Paul","",148,17.05,0,0,3,3,"7","2","125","5","0","0"
278,"TOWNSHIP OF CROSBY For Township Fiscal Officer (Vote For 1)","Matthew C. Wallace","",672,100.00,0,0,3,3,"27","0","308","0","0","0"
279,"TOWNSHIP OF DELHI For Township Trustee (Vote For 1)","Rose K. Stertz","",2997,58.17,0,0,19,19,"42","1","201","5","0","0"
280,"TOWNSHIP OF DELHI For Township Trustee (Vote For 1)","Daniel Brown","",2155,41.83,0,0,19,19,"42","1","201","5","0","0"
281,"TOWNSHIP OF DELHI For Township Fiscal Officer (Vote For 1)","Jim Luebbe","",4047,100.00,0,0,19,19,"168","0","1186","0","0","0"
282,"TOWNSHIP OF GREEN For Township Trustee (Vote For 1)","Tony Rosiello","",9033,73.77,0,0,43,43,"130","3","1222","7","0","0"
283,"TOWNSHIP OF GREEN For Township Trustee (Vote For 1)","John M. Campolongo","",3211,26.23,0,0,43,43,"130","3","1222","7","0","0"
284,"TOWNSHIP OF GREEN For Township Fiscal Officer (Vote For 1)","Tom Straus","",10181,100.00,0,0,43,43,"451","0","2974","0","0","0"
285,"TOWNSHIP OF HARRISON For Township Trustee (Vote For 1)","William Noes","",1235,54.19,0,0,8,8,"24","0","356","3","0","0"
286,"TOWNSHIP OF HARRISON For Township Trustee (Vote For 1)","Kenneth W. Fohl","",1044,45.81,0,0,8,8,"24","0","356","3","0","0"
287,"TOWNSHIP OF HARRISON For Township Fiscal Officer (Vote For 1)","Richard J. Dole","",1790,100.00,0,0,8,8,"79","0","793","0","0","0"
288,"TOWNSHIP OF MIAMI For Township Trustee (Vote For 1)","Jack E. Rininger","",1931,57.76,0,0,12,12,"61","4","536","6","0","0"
289,"TOWNSHIP OF MIAMI For Township Trustee (Vote For 1)","John W. Kerth","",1402,41.94,0,0,12,12,"61","4","536","6","0","0"
290,"TOWNSHIP OF MIAMI For Township Trustee (Vote For 1)","Debbie Wilson","",10,0.30,0,0,12,12,"61","4","536","6","0","0"
291,"TOWNSHIP OF MIAMI For Township Fiscal Officer (Vote For 1)","Cindy L. Oser","",2754,100.00,0,0,12,12,"145","0","1051","0","0","0"
292,"TOWNSHIP OF SPRINGFIELD For Township Trustee (Vote For 1)","Kristie Dukes Davis","",4276,54.40,0,0,28,28,"91","0","597","9","0","0"
293,"TOWNSHIP OF SPRINGFIELD For Township Trustee (Vote For 1)","Jamie Rea","",3584,45.60,0,0,28,28,"91","0","597","9","0","0"
294,"TOWNSHIP OF SPRINGFIELD For Township Fiscal Officer (Vote For 1)","Dan J. Berning","",5344,100.00,0,0,28,28,"383","0","2830","0","0","0"
295,"TOWNSHIP OF SYCAMORE For Township Trustee (Vote For 1)","Tom James","",2328,53.21,0,0,14,14,"68","0","197","5","0","0"
296,"TOWNSHIP OF SYCAMORE For Township Trustee (Vote For 1)","Dennis W. Connor","",2047,46.79,0,0,14,14,"68","0","197","5","0","0"
297,"TOWNSHIP OF SYCAMORE For Township Fiscal Officer (Vote For 1)","Rob Porter","",2316,57.11,0,0,14,14,"142","0","442","6","0","0"
298,"TOWNSHIP OF SYCAMORE For Township Fiscal Officer (Vote For 1)","Standish Fortin","",1739,42.89,0,0,14,14,"142","0","442","6","0","0"
299,"TOWNSHIP OF SYMMES For Township Trustee (Vote For 1)","Phil Beck","",2500,58.51,0,0,12,12,"60","0","486","3","0","0"
300,"TOWNSHIP OF SYMMES For Township Trustee (Vote For 1)","CJ Carr","",1773,41.49,0,0,12,12,"60","0","486","3","0","0"
301,"TOWNSHIP OF SYMMES For Township Fiscal Officer (Vote For 1)","Joseph C. Grossi","",3013,100.00,0,0,12,12,"235","0","1574","0","0","0"
302,"TOWNSHIP OF WHITEWATER For Township Trustee (Vote For 1)","Guy G. Schaible","",388,56.73,0,0,3,3,"2","0","18","2","0","0"
303,"TOWNSHIP OF WHITEWATER For Township Trustee (Vote For 1)","Alysha Johnson","",296,43.27,0,0,3,3,"2","0","18","2","0","0"
304,"TOWNSHIP OF WHITEWATER For Township Fiscal Officer (Vote For 1)","James L. Brett","",486,100.00,0,0,3,3,"13","0","207","0","0","0"
305,"CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 3)","Eve Bolton","",29093,26.03,0,0,232,232,"6888","13","42275","46","0","0"
306,"CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 3)","Carolyn Jones","",28344,25.36,0,0,232,232,"6888","13","42275","46","0","0"
307,"CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 3)","Ben Lindy","",19849,17.76,0,0,232,232,"6888","13","42275","46","0","0"
308,"CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 3)","Ozie Davis III","",13327,11.93,0,0,232,232,"6888","13","42275","46","0","0"
309,"CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 3)","Heather M. Couch","",11079,9.91,0,0,232,232,"6888","13","42275","46","0","0"
310,"CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 3)","Marlena Brookfield","",10062,9.00,0,0,232,232,"6888","13","42275","46","0","0"
311,"CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education (Unexpired term ending 12-31-2021) (Vote For 1)","Pamela Bowers","",25163,54.56,0,0,232,232,"1025","42","6381","129","0","0"
312,"CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education (Unexpired term ending 12-31-2021) (Vote For 1)","Gary Favors","",14972,32.46,0,0,232,232,"1025","42","6381","129","0","0"
313,"CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education (Unexpired term ending 12-31-2021) (Vote For 1)","Steve Megerle","",5986,12.98,0,0,232,232,"1025","42","6381","129","0","0"
314,"DEER PARK COMMUNITY CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Chris Huster","",1341,52.77,0,0,10,10,"239","0","1796","0","0","0"
315,"DEER PARK COMMUNITY CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Paul Godwin","",1200,47.23,0,0,10,10,"239","0","1796","0","0","0"
316,"INDIAN HILL EXEMPTED VILLAGE SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Niki Singh","",1780,31.54,0,0,17,17,"298","1","1342","3","0","0"
317,"INDIAN HILL EXEMPTED VILLAGE SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Nancy Aichholz","",1748,30.97,0,0,17,17,"298","1","1342","3","0","0"
318,"INDIAN HILL EXEMPTED VILLAGE SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Eliot M. Winks","",1071,18.98,0,0,17,17,"298","1","1342","3","0","0"
319,"INDIAN HILL EXEMPTED VILLAGE SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Jackie R. Sheridan","",1045,18.52,0,0,17,17,"298","1","1342","3","0","0"
320,"LOVELAND CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Kathryn Lorenz","",2652,53.68,0,0,13,13,"783","0","5697","0","0","0"
321,"LOVELAND CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Arthur R. Jarvis","",2288,46.32,0,0,13,13,"783","0","5697","0","0","0"
322,"MADEIRA CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Paula Andruss","",1374,51.33,0,0,9,9,"260","0","1837","0","0","0"
323,"MADEIRA CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Richard Palmer","",1303,48.67,0,0,9,9,"260","0","1837","0","0","0"
324,"MARIEMONT CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Kelli S. Neville","",1124,51.54,0,0,8,8,"188","0","1241","0","0","0"
325,"MARIEMONT CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","N. Nan Dill","",1057,48.46,0,0,8,8,"188","0","1241","0","0","0"
326,"MILFORD EXEMPTED VILLAGE SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Emily Chesnut","",0,0.00,0,0,1,1,"0","0","0","0","0","0"
327,"MILFORD EXEMPTED VILLAGE SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Mike Durkee","",0,0.00,0,0,1,1,"0","0","0","0","0","0"
328,"MILFORD EXEMPTED VILLAGE SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Dave Meranda","",0,0.00,0,0,1,1,"0","0","0","0","0","0"
329,"MILFORD EXEMPTED VILLAGE SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","James Rhodes","",0,0.00,0,0,1,1,"0","0","0","0","0","0"
330,"MT HEALTHY CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Julie Turner","",1401,26.43,0,0,22,22,"228","2","1854","6","0","0"
331,"MT HEALTHY CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Kimberly A. Bouldin-Bryant","",1314,24.79,0,0,22,22,"228","2","1854","6","0","0"
332,"MT HEALTHY CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Kenneth Glenn","",1017,19.19,0,0,22,22,"228","2","1854","6","0","0"
333,"MT HEALTHY CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Steven A. Harness","",828,15.62,0,0,22,22,"228","2","1854","6","0","0"
334,"MT HEALTHY CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Randy A. Jones","",740,13.96,0,0,22,22,"228","2","1854","6","0","0"
335,"NORTH COLLEGE HILL CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Helen O'Rourke","",836,37.52,0,0,10,10,"146","1","1168","2","0","0"
336,"NORTH COLLEGE HILL CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Barbara Graves","",829,37.21,0,0,10,10,"146","1","1168","2","0","0"
337,"NORTH COLLEGE HILL CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Vanessa Bossard","",563,25.27,0,0,10,10,"146","1","1168","2","0","0"
338,"NORWOOD CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Debbie Cole","",1911,39.73,0,0,12,12,"479","1","2185","3","0","0"
339,"NORWOOD CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Alice Rericha","",1515,31.50,0,0,12,12,"479","1","2185","3","0","0"
340,"NORWOOD CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Val Nice Orza","",1384,28.77,0,0,12,12,"479","1","2185","3","0","0"
341,"NORWOOD CITY SCHOOL DISTRICT For Member of Board of Education (Unexpired term ending 12-31-2021) (Vote For 1)","Sally Raber","",1852,64.48,0,0,12,12,"153","0","714","2","0","0"
342,"NORWOOD CITY SCHOOL DISTRICT For Member of Board of Education (Unexpired term ending 12-31-2021) (Vote For 1)","Huy T. Lai","",1020,35.52,0,0,12,12,"153","0","714","2","0","0"
343,"PRINCETON CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 3)","Gina Ruffin Moore","",4689,35.15,0,0,29,29,"1719","0","12226","0","0","0"
344,"PRINCETON CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 3)","Susan Elizabeth Wyder","",4604,34.51,0,0,29,29,"1719","0","12226","0","0","0"
345,"PRINCETON CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 3)","Jon Myron Simons","",4047,30.34,0,0,29,29,"1719","0","12226","0","0","0"
346,"READING COMMUNITY CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Crystal Gee Menner","",1119,53.13,0,0,9,9,"222","0","1412","0","0","0"
347,"READING COMMUNITY CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Jason Robert Rader","",987,46.87,0,0,9,9,"222","0","1412","0","0","0"
348,"ST BERNARD-ELMWOOD PLACE CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Linda Keith Radtke","",726,50.70,0,0,5,5,"107","0","1231","0","0","0"
349,"ST BERNARD-ELMWOOD PLACE CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Cristina Underwood","",706,49.30,0,0,5,5,"107","0","1231","0","0","0"
350,"ST BERNARD-ELMWOOD PLACE CITY SCHOOL DISTRICT For Member of Board of Ed (Unexp ending 12-31-2021) (Vote For 1)","Jason T. McMullan","",746,63.98,0,0,5,5,"10","1","208","0","0","0"
351,"ST BERNARD-ELMWOOD PLACE CITY SCHOOL DISTRICT For Member of Board of Ed (Unexp ending 12-31-2021) (Vote For 1)","Joe Wheeler","",420,36.02,0,0,5,5,"10","1","208","0","0","0"
352,"SYCAMORE COMMUNITY CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Melissa Weiss","",5272,37.92,0,0,36,36,"797","1","6783","2","0","0"
353,"SYCAMORE COMMUNITY CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Brad Comerford","",5039,36.24,0,0,36,36,"797","1","6783","2","0","0"
354,"SYCAMORE COMMUNITY CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Paul M. Balent","",3593,25.84,0,0,36,36,"797","1","6783","2","0","0"
355,"WINTON WOODS CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 1)","Katrina Rugless","",3141,100.00,0,0,22,22,"134","0","1022","0","0","0"
356,"WINTON WOODS CITY SCHOOL DISTRICT For Member of Board of Ed (Unexp ending 12-31-2021) (Vote For 1)","John Cuppoletti","",2881,100.00,0,0,22,22,"153","0","1263","0","0","0"
357,"WYOMING CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Jeanie Zoller","",1585,50.64,0,0,5,5,"218","0","1936","0","0","0"
358,"WYOMING CITY SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Illya T. Thomas","",1545,49.36,0,0,5,5,"218","0","1936","0","0","0"
359,"HAMILTON CO EDUCATIONAL SERVICE CENTER For Member of Governing Board of Educational Service Center (Vote For 2)","Tim Wagner","",28781,53.03,0,0,177,177,"6570","0","59289","0","0","0"
360,"HAMILTON CO EDUCATIONAL SERVICE CENTER For Member of Governing Board of Educational Service Center (Vote For 2)","Fred Hunt","",25494,46.97,0,0,177,177,"6570","0","59289","0","0","0"
361,"FINNEYTOWN LOCAL SCHOOL DISTRICT For Member of Board of Education (Vote For 2)","Tony Gast","",2024,52.07,0,0,10,10,"318","0","2877","0","0","0"
