contest,candidate,vote_type,precinct,votes
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2501 CIN 25-A,34
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2502 CIN 25-B,29
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2503 CIN 25-C,135
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2504 CIN 25-D,95
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2505 CIN 25-E,104
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2506 CIN 25-F,106
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2507 CIN 25-G,46
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2508 CIN 25-H,80
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2509 CIN 25-I,140
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2510 CIN 25-J,50
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2511 CIN 25-K,80
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2512 CIN 25-L,13
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2601 CIN 26-A,122
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2602 CIN 26-B,55
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2603 CIN 26-C,42
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2604 CIN 26-D,12
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2605 CIN 26-E,33
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2606 CIN 26-F,19
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2607 CIN 26-G,57
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2608 CIN 26-H,6
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2609 CIN 26-I,70
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2610 CIN 26-J,49
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2611 CIN 26-K,67
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2612 CIN 26-L,32
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2613 CIN 26-M,20
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2614 CIN 26-N,49
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2615 CIN 26-O,74
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2616 CIN 26-P,54
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2617 CIN 26-Q,22
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2618 CIN 26-R,5
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Election,2619 CIN 26-S,46
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0101 CIN 1-A,0
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0102 CIN 1-B,18
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0103 CIN 1-C,14
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0104 CIN 1-D,15
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0105 CIN 1-E,9
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0106 CIN 1-F,9
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0107 CIN 1-G,5
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0108 CIN 1-H,12
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0109 CIN 1-I,7
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0110 CIN 1-J,8
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0111 CIN 1-K,5
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0112 CIN 1-L,9
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0113 CIN 1-M,11
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0201 CIN 2-A,26
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0202 CIN 2-B,24
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0203 CIN 2-C,14
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0204 CIN 2-D,15
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0205 CIN 2-E,28
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0206 CIN 2-F,10
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0207 CIN 2-G,43
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0208 CIN 2-H,1
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0209 CIN 2-I,9
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0210 CIN 2-J,11
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0211 CIN 2-K,14
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0301 CIN 3-A,12
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0302 CIN 3-B,17
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0303 CIN 3-C,29
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0304 CIN 3-D,5
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0305 CIN 3-E,16
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0401 CIN 4-A,13
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0402 CIN 4-B,15
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0403 CIN 4-C,22
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0404 CIN 4-D,11
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0405 CIN 4-E,13
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0406 CIN 4-F,34
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0407 CIN 4-G,31
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0408 CIN 4-H,27
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0501 CIN 5-A,32
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0502 CIN 5-B,21
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0503 CIN 5-C,31
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0504 CIN 5-D,31
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0505 CIN 5-E,20
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0506 CIN 5-F,10
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0507 CIN 5-G,30
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0508 CIN 5-H,7
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0509 CIN 5-I,20
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0601 CIN 6-A,5
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0602 CIN 6-B,8
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0603 CIN 6-C,5
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0604 CIN 6-D,13
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0605 CIN 6-E,21
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0701 CIN 7-A,26
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0702 CIN 7-B,6
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0703 CIN 7-C,31
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0704 CIN 7-D,16
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0705 CIN 7-E,10
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0706 CIN 7-F,16
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0707 CIN 7-G,19
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0708 CIN 7-H,7
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0709 CIN 7-I,14
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0710 CIN 7-J,9
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0711 CIN 7-K,20
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0801 CIN 8-A,15
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0802 CIN 8-B,23
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0803 CIN 8-C,43
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0804 CIN 8-D,4
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0901 CIN 9-A,8
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0902 CIN 9-B,24
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0903 CIN 9-C,12
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,0904 CIN 9-D,6
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1001 CIN 10-A,8
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1002 CIN 10-B,3
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1003 CIN 10-C,9
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1101 CIN 11-A,12
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1102 CIN 11-B,3
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1103 CIN 11-C,3
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1104 CIN 11-D,3
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1201 CIN 12-A,6
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1202 CIN 12-B,0
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1203 CIN 12-C,1
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1204 CIN 12-D,23
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1205 CIN 12-E,0
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1301 CIN 13-A,6
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1302 CIN 13-B,15
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1303 CIN 13-C,7
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1304 CIN 13-D,5
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1305 CIN 13-E,36
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1306 CIN 13-F,19
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1307 CIN 13-G,9
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1308 CIN 13-H,1
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1401 CIN 14-A,16
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1402 CIN 14-B,12
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1403 CIN 14-C,14
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1404 CIN 14-D,28
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1405 CIN 14-E,14
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1406 CIN 14-F,22
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1407 CIN 14-G,13
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1408 CIN 14-H,12
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1409 CIN 14-I,18
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1501 CIN 15-A,10
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1502 CIN 15-B,32
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1503 CIN 15-C,5
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1504 CIN 15-D,3
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1505 CIN 15-E,17
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1506 CIN 15-F,17
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1507 CIN 15-G,11
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1508 CIN 15-H,25
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1509 CIN 15-I,14
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1510 CIN 15-J,8
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1601 CIN 16-A,4
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1701 CIN 17-A,2
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1702 CIN 17-B,15
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1703 CIN 17-C,1
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1801 CIN 18-A,4
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1802 CIN 18-B,0
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1901 CIN 19-A,7
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1902 CIN 19-B,6
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1903 CIN 19-C,8
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,1904 CIN 19-D,0
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2001 CIN 20-A,6
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2002 CIN 20-B,8
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2003 CIN 20-C,19
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2004 CIN 20-D,16
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2005 CIN 20-E,4
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2101 CIN 21-A,4
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2102 CIN 21-B,1
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2103 CIN 21-C,3
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2104 CIN 21-D,5
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2105 CIN 21-E,2
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2201 CIN 22-A,11
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2202 CIN 22-B,3
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2203 CIN 22-C,3
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2301 CIN 23-A,19
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2302 CIN 23-B,5
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2303 CIN 23-C,8
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2304 CIN 23-D,12
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2305 CIN 23-E,18
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2306 CIN 23-F,14
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2307 CIN 23-G,7
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2308 CIN 23-H,17
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2309 CIN 23-I,10
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2310 CIN 23-J,15
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2311 CIN 23-K,12
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2312 CIN 23-L,2
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2313 CIN 23-M,15
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2314 CIN 23-N,10
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2315 CIN 23-O,11
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2316 CIN 23-P,9
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2317 CIN 23-Q,35
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2318 CIN 23-R,2
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2401 CIN 24-A,15
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2402 CIN 24-B,4
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2403 CIN 24-C,19
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2404 CIN 24-D,11
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2405 CIN 24-E,1
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2406 CIN 24-F,11
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2407 CIN 24-G,5
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2408 CIN 24-H,0
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2409 CIN 24-I,0
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2501 CIN 25-A,3
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2502 CIN 25-B,7
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2503 CIN 25-C,23
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2504 CIN 25-D,13
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2505 CIN 25-E,15
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2506 CIN 25-F,24
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2507 CIN 25-G,2
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2508 CIN 25-H,17
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2509 CIN 25-I,14
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2510 CIN 25-J,7
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2511 CIN 25-K,13
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2512 CIN 25-L,0
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2601 CIN 26-A,16
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2602 CIN 26-B,8
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2603 CIN 26-C,3
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2604 CIN 26-D,5
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2605 CIN 26-E,7
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2606 CIN 26-F,5
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2607 CIN 26-G,6
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2608 CIN 26-H,0
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2609 CIN 26-I,14
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2610 CIN 26-J,8
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2611 CIN 26-K,8
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2612 CIN 26-L,6
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2613 CIN 26-M,4
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2614 CIN 26-N,9
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2615 CIN 26-O,9
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2616 CIN 26-P,17
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2617 CIN 26-Q,9
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2618 CIN 26-R,5
CITY OF CINCINNATI For Member of Council at Large,Don Driehaus,Early,2619 CIN 26-S,5
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0101 CIN 1-A,62
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0102 CIN 1-B,124
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0103 CIN 1-C,63
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0104 CIN 1-D,68
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0105 CIN 1-E,68
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0106 CIN 1-F,116
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0107 CIN 1-G,86
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0108 CIN 1-H,72
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0109 CIN 1-I,119
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0110 CIN 1-J,98
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0111 CIN 1-K,63
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0112 CIN 1-L,72
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0113 CIN 1-M,81
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0201 CIN 2-A,34
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0202 CIN 2-B,33
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0203 CIN 2-C,24
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0204 CIN 2-D,66
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0205 CIN 2-E,99
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0206 CIN 2-F,42
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0207 CIN 2-G,70
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0208 CIN 2-H,23
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0209 CIN 2-I,50
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0210 CIN 2-J,64
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0211 CIN 2-K,81
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0301 CIN 3-A,12
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0302 CIN 3-B,49
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0303 CIN 3-C,54
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0304 CIN 3-D,35
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0305 CIN 3-E,28
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0401 CIN 4-A,55
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0402 CIN 4-B,72
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0403 CIN 4-C,58
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0404 CIN 4-D,109
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0405 CIN 4-E,82
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0406 CIN 4-F,82
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0407 CIN 4-G,117
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0408 CIN 4-H,81
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0501 CIN 5-A,106
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0502 CIN 5-B,115
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0503 CIN 5-C,43
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0504 CIN 5-D,121
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0505 CIN 5-E,88
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0506 CIN 5-F,53
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0507 CIN 5-G,96
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0508 CIN 5-H,20
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0509 CIN 5-I,141
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0601 CIN 6-A,56
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0602 CIN 6-B,60
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0603 CIN 6-C,41
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0604 CIN 6-D,31
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0605 CIN 6-E,46
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0701 CIN 7-A,30
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0702 CIN 7-B,6
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0703 CIN 7-C,16
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0704 CIN 7-D,14
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0705 CIN 7-E,10
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0706 CIN 7-F,6
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0707 CIN 7-G,13
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0708 CIN 7-H,13
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0709 CIN 7-I,21
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0710 CIN 7-J,4
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0711 CIN 7-K,10
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0801 CIN 8-A,17
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0802 CIN 8-B,58
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0803 CIN 8-C,127
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0804 CIN 8-D,17
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0901 CIN 9-A,6
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0902 CIN 9-B,45
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0903 CIN 9-C,29
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,0904 CIN 9-D,9
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,1001 CIN 10-A,115
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,1002 CIN 10-B,16
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,1003 CIN 10-C,32
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,1101 CIN 11-A,27
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,1102 CIN 11-B,9
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,1103 CIN 11-C,7
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,1104 CIN 11-D,16
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,1201 CIN 12-A,14
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,1202 CIN 12-B,2
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,1203 CIN 12-C,11
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,1204 CIN 12-D,17
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,1205 CIN 12-E,7
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,1301 CIN 13-A,5
CITY OF CINCINNATI For Member of Council at Large,Gary Favors,Election,1302 CIN 13-B,27
