"","VoterIdent","PrecinctNum","PrecinctSplit","PrecinctName","2025 General Election","2025 Primary Election","2024 General Election","2024 Primary Election","2023 General Election","2023 August Election","PRIMARY_MAY_2023","GENERAL_NOV_2022","AUG PRIMARY ELECTION 2022","PRIMARY_MAY_2022","GENERAL_NOV_2021","PRIMARY_MAY_2021"
"7887","001680253",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,"E-U","E-U",NA,"E-U",NA,"P-U","P-U",NA
"7888","002088869",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,"P-U","P-U",NA
"7889","001787705",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,"P-U","P-U",NA
"7890","002103127",108,0,"CINCINNATI 1-H",NA,"P-U","E-U","E-D","P-U","E-U",NA,"P-U",NA,NA,NA,NA
"7891","002073119",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,"A-U",NA,NA,"A-U",NA,NA,NA,NA
"7892","002021525",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,NA,"E-U",NA,"P-U",NA,NA,NA,NA
"7893","002097838",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"P-U",NA,NA,NA,NA,NA,NA,NA
"7894","002097832",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA,NA,NA,NA
"7895","001958178",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7896","002022137",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,"P-U",NA,NA,NA,NA
"7897","001916154",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7898","001060589",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7899","001011280",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,NA,NA,NA,"P-U",NA,NA,NA,NA
"7900","001925857",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7901","000008373",108,0,"CINCINNATI 1-H",NA,"E-U","E-U","E-R","E-U","E-U",NA,"P-U","E-R","P-U","E-U","E-U"
"7902","001865889",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7903","230031174",108,0,"CINCINNATI 1-H",NA,NA,"A-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7904","001409762",108,0,"CINCINNATI 1-H",NA,"P-U","A-U",NA,"E-U","P-U",NA,"A-U",NA,NA,"A-U","E-U"
"7905","002109242",108,0,"CINCINNATI 1-H",NA,NA,"A-U",NA,NA,"P-U",NA,"P-U",NA,NA,NA,NA
"7906","001583296",108,0,"CINCINNATI 1-H",NA,NA,"A-U",NA,"E-U","P-U",NA,"A-U",NA,NA,"A-U","E-U"
"7907","000566689",108,0,"CINCINNATI 1-H",NA,NA,"P-U","P-R","P-U","P-U",NA,"P-U",NA,NA,"P-U",NA
"7908","001645553",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,"P-U",NA
"7909","000437081",108,0,"CINCINNATI 1-H",NA,NA,NA,"P-R","P-U","P-U",NA,"P-U",NA,NA,"P-U",NA
"7910","001183813",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,"E-U","E-U",NA,"P-U","P-D","P-U",NA,NA
"7911","001735424",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7912","001568836",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7913","001213611",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,"E-U",NA,NA,"P-U",NA,NA,NA,NA
"7914","002098914",108,0,"CINCINNATI 1-H",NA,NA,"A-U",NA,"A-U","A-U",NA,"A-U",NA,NA,NA,NA
"7915","001968235",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7916","001213613",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,"E-U",NA,NA,"P-U",NA,NA,"P-U",NA
"7917","000984231",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7918","001699685",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,"P-U",NA,NA
"7919","001846967",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,NA,NA,NA,"P-U",NA,NA,NA,NA
"7920","001150996",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"E-U","P-U",NA,"P-U",NA,NA,"P-U","P-U"
"7921","001620129",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7922","001076096",108,0,"CINCINNATI 1-H",NA,"P-U","E-U","P-D","P-U","P-U",NA,"E-U",NA,"P-U","E-U","P-U"
"7923","001537853",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7924","240032215",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7925","002037350",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7926","001900931",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7927","002037779",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,"P-U","P-U",NA,NA,NA,NA,NA,NA
"7928","001279851",108,0,"CINCINNATI 1-H",NA,"P-U","E-U","P-D","E-U","E-U",NA,"A-U","E-D","P-U","E-U","P-U"
"7929","240012000",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7930","240011999",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7931","001963212",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"P-U",NA,NA,NA,NA,NA,NA,NA
"7932","001372667",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,NA,NA,NA,"A-U",NA,NA,NA,NA
"7933","002065762",108,0,"CINCINNATI 1-H",NA,NA,"A-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7934","001545805",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA,NA,"P-U","P-U"
"7935","000079628",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,"P-U","P-U"
"7936","001991407",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"P-U","P-U",NA,NA,NA,NA,NA,NA
"7937","002034347",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U","P-U"
"7938","001977141",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,"E-U","P-D","P-U",NA,NA
"7939","002064819",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"7940","002048007",108,0,"CINCINNATI 1-H",NA,NA,"A-U",NA,"A-U","A-U",NA,"A-U",NA,NA,NA,NA
"7941","002048008",108,0,"CINCINNATI 1-H",NA,NA,"A-U",NA,"A-U","A-U",NA,"A-U",NA,NA,NA,NA
"7942","000008240",108,0,"CINCINNATI 1-H",NA,NA,"E-U","P-D","P-U","P-U",NA,"P-U","P-D",NA,"P-U","P-U"
"7943","001446875",108,0,"CINCINNATI 1-H",NA,"P-U","E-U","P-D","P-U","P-U",NA,"E-U","P-D",NA,"P-U","P-U"
"7944","001995835",108,0,"CINCINNATI 1-H",NA,NA,"A-U",NA,"P-U",NA,NA,NA,NA,NA,NA,NA
"7945","001995826",108,0,"CINCINNATI 1-H",NA,"P-U","A-U","P-R","P-U","P-U",NA,"E-U",NA,"P-U",NA,"P-U"
"7946","001281435",108,0,"CINCINNATI 1-H",NA,NA,"P-U","P-R","P-U",NA,NA,"P-U",NA,"P-U","P-U","P-U"
"7947","002081838",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7948","002011980",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,"E-U","E-U",NA,"E-U",NA,NA,NA,NA
"7949","002067135",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7950","002070312",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,"P-U",NA,NA,NA,NA
"7951","002016060",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"7952","001814700",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"7953","250009857",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7954","000121515",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA,NA,"P-U","P-U"
"7955","001395339",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,NA,NA,NA,"P-U",NA,NA,"P-U","P-U"
"7956","240040734",108,0,"CINCINNATI 1-H",NA,NA,"A-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7957","001311442",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7958","240070367",108,0,"CINCINNATI 1-H",NA,NA,"A-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7959","240070115",108,0,"CINCINNATI 1-H",NA,NA,"A-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7960","002126502",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,"P-U",NA,NA,NA,NA,NA,NA,NA
"7961","001957489",108,0,"CINCINNATI 1-H",NA,"P-U","P-U",NA,"P-U","P-U",NA,"E-U",NA,NA,NA,NA
"7962","002069986",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7963","001775956",108,0,"CINCINNATI 1-H",NA,"P-U","E-U",NA,"P-U","E-U",NA,"P-U","P-D","P-U","P-U","P-U"
"7964","001443785",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7965","001152597",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7966","001813812",108,0,"CINCINNATI 1-H",NA,NA,"E-U","P-D","P-U","P-U",NA,"P-U",NA,"P-U","P-U","P-U"
"7967","001208543",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,NA,NA,NA,"P-U",NA,NA,NA,NA
"7968","000960770",108,0,"CINCINNATI 1-H",NA,"P-U","E-U","P-D","P-U","P-U",NA,"P-U",NA,"P-U","P-U","P-U"
"7969","000910744",108,0,"CINCINNATI 1-H",NA,"P-U","E-U","P-R","E-U","P-U",NA,"P-U","P-R","P-U","E-U","P-U"
"7970","000907904",108,0,"CINCINNATI 1-H",NA,"P-U","E-U","P-R","E-U","P-U",NA,"P-U","P-R","P-U","E-U","P-U"
"7971","230038914",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7972","001386062",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA,NA,NA,NA
"7973","001174191",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA
"7974","002062929",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7975","250008527",108,0,"CINCINNATI 1-H",NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7976","250008549",108,0,"CINCINNATI 1-H",NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7977","001376830",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,"A-U",NA,NA,NA,NA
"7978","001531302",108,0,"CINCINNATI 1-H",NA,"P-U","E-U",NA,"E-U","E-U",NA,"E-U","P-D","P-U","P-U","P-U"
"7979","002044875",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"7980","002116778",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,NA,NA,NA,"P-U",NA,NA,NA,NA
"7981","002106605",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,NA,"P-U",NA,"P-U",NA,NA,NA,NA
"7982","001884588",108,0,"CINCINNATI 1-H",NA,"P-U","P-U",NA,"P-U","P-U",NA,NA,NA,NA,NA,NA
"7983","001915751",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7984","002127473",108,0,"CINCINNATI 1-H",NA,NA,"A-U",NA,"P-U","P-U",NA,NA,NA,NA,NA,NA
"7985","230030976",108,0,"CINCINNATI 1-H",NA,NA,"P-U","P-D","P-U",NA,NA,NA,NA,NA,NA,NA
"7986","000781345",108,0,"CINCINNATI 1-H",NA,NA,"P-U","P-R","P-U","P-U",NA,"P-U",NA,"P-U","P-U","P-U"
"7987","000944433",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7988","001998909",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7989","001641136",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7990","002091274",108,0,"CINCINNATI 1-H",NA,NA,"A-U",NA,"A-U",NA,NA,"A-U",NA,NA,NA,NA
"7991","001792239",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7992","001162309",108,0,"CINCINNATI 1-H",NA,NA,"E-U","E-R","E-U","P-U",NA,"A-U",NA,"E-U","E-U","P-U"
"7993","001991429",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA,NA,NA,NA
"7994","001098934",108,0,"CINCINNATI 1-H",NA,NA,"E-U","E-R","E-U","P-U",NA,"A-U",NA,"E-U","E-U","P-U"
"7995","001840865",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7996","001646023",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7997","001828432",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,NA,NA,NA,"P-U",NA,NA,NA,NA
"7998","001644067",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,"E-U","E-U",NA,"E-U",NA,"P-U","E-U",NA
"7999","002022482",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8000","001738875",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8001","001738872",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,"P-U",NA,NA,"P-U",NA,NA,"P-U",NA
"8002","001565699",108,0,"CINCINNATI 1-H",NA,NA,"A-U",NA,NA,NA,NA,"P-U",NA,NA,NA,NA
"8003","002065308",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8004","001802774",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,NA,NA,NA,"P-U",NA,"P-U","P-U",NA
"8005","001881186",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"8006","001826284",108,0,"CINCINNATI 1-H",NA,NA,"E-U",NA,"E-U","A-U",NA,"A-U",NA,NA,NA,NA
"8007","001916364",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8008","001770686",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,"A-U",NA
"8009","001408969",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,"P-U","P-U",NA,"A-U","P-D","A-U","A-U","A-U"
"8010","002088124",108,0,"CINCINNATI 1-H",NA,NA,"P-U",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA
"8011","250010392",108,0,"CINCINNATI 1-H",NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8012","002021484",108,0,"CINCINNATI 1-H",NA,"P-U","P-U",NA,"E-U","E-U",NA,"E-U",NA,NA,"P-U",NA
"8013","002021487",108,0,"CINCINNATI 1-H",NA,"P-U","P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,"P-U",NA
"8014","240103700",108,0,"CINCINNATI 1-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8015","001392405",108,0,"CINCINNATI 1-H",NA,"P-U","P-U","P-R","P-U","P-U",NA,"P-U","P-R","P-U","P-U","P-U"
"8016","001392403",108,0,"CINCINNATI 1-H",NA,"P-U","P-U","P-R","P-U","P-U",NA,"P-U","P-R","P-U","P-U","P-U"
"8017","001546739",108,0,"CINCINNATI 1-H",NA,NA,"A-U",NA,NA,NA,NA,"P-U",NA,NA,NA,NA
"8018","001497730",108,0,"CINCINNATI 1-H",NA,NA,"A-U",NA,NA,NA,NA,"E-U",NA,NA,NA,NA
"8019","001869946",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA,"P-U","P-U",NA
"8020","001092256",109,0,"CINCINNATI 1-I",NA,NA,"P-U","P-R","P-U",NA,NA,NA,NA,NA,NA,NA
"8021","250023808",109,0,"CINCINNATI 1-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8022","001975541",109,0,"CINCINNATI 1-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8023","001347277",109,0,"CINCINNATI 1-I",NA,"P-U","E-U","P-R","E-U","E-U",NA,"A-U","P-R","A-U","P-U","P-U"
"8024","240025738",109,0,"CINCINNATI 1-I",NA,NA,"A-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8025","240057408",109,0,"CINCINNATI 1-I",NA,NA,"A-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8026","240007496",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8027","230016266",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8028","001723396",109,0,"CINCINNATI 1-I",NA,"P-U","A-U",NA,"P-U","P-U",NA,"A-U",NA,NA,"A-U",NA
"8029","001582159",109,0,"CINCINNATI 1-I",NA,"P-U","P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,"P-U","P-U"
"8030","001903083",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,NA,"P-U",NA,NA,NA,NA,NA,NA
"8031","002082291",109,0,"CINCINNATI 1-I",NA,NA,"P-U","P-R","P-U","P-U",NA,"P-U",NA,NA,NA,NA
"8032","002082277",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,NA,NA
"8033","240074028",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8034","240098185",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8035","000204715",109,0,"CINCINNATI 1-I",NA,"P-U","P-U","P-R","P-U","P-U",NA,"A-U",NA,NA,"P-U","P-U"
"8036","001603951",109,0,"CINCINNATI 1-I",NA,"A-U","A-U",NA,"A-U","A-U",NA,"A-U",NA,"A-U","P-U","A-U"
"8037","002021607",109,0,"CINCINNATI 1-I",NA,NA,"E-U","P-R","P-U","P-U",NA,"P-U",NA,"P-U",NA,NA
"8038","002037587",109,0,"CINCINNATI 1-I",NA,NA,"E-U","P-R","P-U","P-U",NA,"P-U",NA,"P-U",NA,NA
"8039","250023292",109,0,"CINCINNATI 1-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8040","002031518",109,0,"CINCINNATI 1-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8041","001812963",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8042","001685766",109,0,"CINCINNATI 1-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8043","001494532",109,0,"CINCINNATI 1-I",NA,"P-U","E-U","P-D","P-U","P-U",NA,"P-U","P-D","P-U","P-U","P-U"
"8044","001493113",109,0,"CINCINNATI 1-I",NA,"P-U","E-U","P-D","P-U","P-U",NA,"P-U","P-D","P-U","P-U","P-U"
"8045","001080512",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,"P-U","P-U"
"8046","001820087",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,"P-U","P-U",NA,"A-U",NA,NA,NA,NA
"8047","250007676",109,0,"CINCINNATI 1-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8048","001636545",109,0,"CINCINNATI 1-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P-U",NA,"P-U"
"8049","001849013",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8050","001941123",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,"P-U",NA,NA,NA,NA,NA,NA,NA
"8051","001731991",109,0,"CINCINNATI 1-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8052","000010086",109,0,"CINCINNATI 1-I",NA,NA,"A-U",NA,"P-U",NA,NA,"A-U",NA,"P-U",NA,NA
"8053","000010087",109,0,"CINCINNATI 1-I",NA,NA,"A-U",NA,"P-U",NA,NA,"A-U",NA,"P-U",NA,NA
"8054","230030150",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,"P-U",NA,NA,NA,NA,NA,NA,NA
"8055","250025677",109,0,"CINCINNATI 1-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8056","230032711",109,0,"CINCINNATI 1-I",NA,NA,"E-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8057","001930180",109,0,"CINCINNATI 1-I",NA,NA,"E-U",NA,"P-U",NA,NA,NA,NA,NA,NA,NA
"8058","002072611",109,0,"CINCINNATI 1-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8059","001730689",109,0,"CINCINNATI 1-I",NA,NA,"A-U",NA,NA,NA,NA,"P-U","P-R",NA,NA,NA
"8060","001927328",109,0,"CINCINNATI 1-I",NA,NA,"E-U",NA,"E-U","E-U",NA,"P-U",NA,NA,NA,NA
"8061","002085407",109,0,"CINCINNATI 1-I",NA,NA,"E-U",NA,"E-U","E-U",NA,"P-U",NA,NA,NA,NA
"8062","230039425",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,"P-U",NA,NA,NA,NA,NA,NA,NA
"8063","001089120",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,"P-U","P-U"
"8064","001843317",109,0,"CINCINNATI 1-I",NA,NA,"E-U","P-D",NA,NA,NA,"P-U",NA,NA,NA,NA
"8065","002102523",109,0,"CINCINNATI 1-I",NA,"P-U","P-U","P-D","P-U","P-U",NA,"P-U","P-D",NA,NA,NA
"8066","001016028",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U","P-R",NA,NA,NA
"8067","002024790",109,0,"CINCINNATI 1-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8068","001974294",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,"P-U",NA
"8069","240003113",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8070","001680545",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8071","000486803",109,0,"CINCINNATI 1-I",NA,"P-U","P-U","P-D","P-U","P-U",NA,"P-U","P-D","P-U",NA,"P-U"
"8072","002016604",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,NA,"P-U",NA
"8073","000016765",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,"A-U","A-U",NA,"A-U",NA,"P-U","A-U","P-U"
"8074","002006006",109,0,"CINCINNATI 1-I",NA,NA,"E-U",NA,"E-U","E-U",NA,NA,NA,NA,NA,NA
"8075","000040479",109,0,"CINCINNATI 1-I",NA,"P-U","E-U",NA,"E-U","E-U",NA,"P-U","P-D",NA,"P-U",NA
"8076","001174591",109,0,"CINCINNATI 1-I",NA,"P-U","E-U",NA,"E-U","E-U",NA,"E-U","P-D","P-U","P-U",NA
"8077","001941502",109,0,"CINCINNATI 1-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8078","000218559",109,0,"CINCINNATI 1-I",NA,NA,"E-U","P-R","P-U","P-U",NA,NA,NA,"P-U",NA,NA
"8079","001575293",109,0,"CINCINNATI 1-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8080","001224709",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,"P-U","P-U","P-U"
"8081","001157432",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,NA,NA,NA,"P-U",NA,"P-U",NA,"P-U"
"8082","002120151",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8083","000931433",109,0,"CINCINNATI 1-I",NA,NA,"P-U","P-R","P-U","P-U",NA,"P-U","P-R","P-U","P-U","P-U"
"8084","001958903",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,"P-U","P-U",NA,"P-U",NA,"P-U","P-U","P-U"
"8085","001407827",109,0,"CINCINNATI 1-I",NA,NA,"A-U",NA,"A-U","A-U",NA,"A-U",NA,NA,NA,NA
"8086","001963670",109,0,"CINCINNATI 1-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8087","001803521",109,0,"CINCINNATI 1-I",NA,NA,NA,NA,NA,NA,NA,"P-U",NA,NA,NA,NA
"8088","002120299",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8089","001902325",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8090","001977890",109,0,"CINCINNATI 1-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8091","001056769",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA,NA,NA,NA
"8092","000035637",109,0,"CINCINNATI 1-I",NA,NA,"P-U",NA,"P-U",NA,NA,"P-U",NA,NA,NA,NA
"8093","001961242",109,0,"CINCINNATI 1-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
