Council at Large (Vote For 9)
                                                            Jan-Michele Lemon Kearney                                                                 Scotty Johnson                                                                            Meeka D. Owens                                                                            Anna Albi                                                                                 Mark Jeffreys                                                                             Seth Walsh                                                                                Jeff Cramerding                                                                           Evan Nolan                                                                                Ryan James                                                                                Liz Keating                                                                               Christopher E. C. Smitherman                                                              Laketa Cole                                                                               Linda Matthews                                                                            Don Driehaus                                                                              Gary Favors                                                                               Steven P. Goodin                                                                          Dale Mallory                                                                              Dawn Johnson                                                                              Aaron Weiner                                                                              Raffel Prophett                                                                           Stephan Pryor                                                                             Jerry Corbett                                                                             Audricia Brooks                                                                           Donald Washington                                                                         Brandon Nixon                                                                             Kevin Farmer                                                                              Brian Ennix (W)                                                                           
Precinct                      Registered Voters             Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Total                         
1501 CIN 15-A                 1248                          391                           68                            459                           340                           60                            400                           399                           61                            460                           396                           67                            463                           409                           68                            477                           331                           57                            388                           359                           64                            423                           359                           57                            416                           359                           57                            416                           72                            17                            89                            37                            5                             42                            70                            8                             78                            8                             6                             14                            33                            10                            43                            15                            7                             22                            23                            7                             30                            28                            5                             33                            46                            7                             53                            29                            12                            41                            42                            4                             46                            10                            4                             14                            44                            9                             53                            54                            4                             58                            29                            6                             35                            17                            3                             20                            13                            4                             17                            2                             0                             2                             4592                          
1502 CIN 15-B                 1451                          297                           111                           408                           261                           101                           362                           295                           86                            381                           292                           83                            375                           294                           99                            393                           244                           76                            320                           259                           80                            339                           246                           75                            321                           248                           76                            324                           129                           43                            172                           83                            33                            116                           86                            32                            118                           37                            10                            47                            69                            32                            101                           35                            9                             44                            50                            21                            71                            37                            17                            54                            57                            20                            77                            58                            17                            75                            52                            12                            64                            29                            6                             35                            32                            7                             39                            30                            5                             35                            31                            6                             37                            15                            4                             19                            6                             5                             11                            1                             0                             1                             4339                          
1503 CIN 15-C                 954                           117                           36                            153                           119                           31                            150                           105                           25                            130                           98                            22                            120                           93                            20                            113                           78                            14                            92                            81                            19                            100                           84                            13                            97                            93                            24                            117                           33                            14                            47                            33                            6                             39                            54                            20                            74                            7                             6                             13                            12                            5                             17                            7                             4                             11                            10                            2                             12                            21                            9                             30                            18                            4                             22                            4                             2                             6                             21                            13                            34                            31                            16                            47                            6                             2                             8                             11                            2                             13                            11                            4                             15                            2                             3                             5                             6                             3                             9                             0                             0                             0                             1474                          
1504 CIN 15-D                 793                           157                           65                            222                           148                           59                            207                           141                           37                            178                           133                           33                            166                           105                           36                            141                           99                            24                            123                           90                            28                            118                           100                           28                            128                           97                            40                            137                           44                            18                            62                            55                            14                            69                            80                            40                            120                           14                            5                             19                            16                            3                             19                            16                            5                             21                            13                            4                             17                            43                            14                            57                            33                            9                             42                            16                            2                             18                            59                            26                            85                            21                            14                            35                            6                             3                             9                             10                            5                             15                            15                            3                             18                            8                             2                             10                            8                             6                             14                            1                             0                             1                             2051                          
1505 CIN 15-E                 1266                          304                           90                            394                           250                           84                            334                           286                           82                            368                           308                           90                            398                           304                           97                            401                           260                           89                            349                           262                           84                            346                           270                           74                            344                           240                           77                            317                           136                           39                            175                           59                            15                            74                            68                            15                            83                            36                            8                             44                            58                            17                            75                            38                            8                             46                            72                            15                            87                            35                            6                             41                            40                            7                             47                            88                            17                            105                           33                            4                             37                            14                            0                             14                            29                            2                             31                            42                            4                             46                            31                            2                             33                            12                            2                             14                            18                            0                             18                            0                             0                             0                             4221                          
1506 CIN 15-F                 1141                          205                           101                           306                           194                           99                            293                           200                           91                            291                           208                           92                            300                           204                           101                           305                           177                           80                            257                           192                           72                            264                           182                           82                            264                           188                           76                            264                           51                            40                            91                            37                            24                            61                            63                            43                            106                           11                            18                            29                            21                            17                            38                            9                             12                            21                            22                            13                            35                            20                            19                            39                            39                            24                            63                            19                            13                            32                            27                            11                            38                            17                            12                            29                            19                            11                            30                            38                            14                            52                            11                            8                             19                            5                             12                            17                            5                             6                             11                            0                             0                             0                             3255                          
1507 CIN 15-G                 675                           142                           52                            194                           115                           50                            165                           132                           51                            183                           121                           46                            167                           136                           52                            188                           116                           40                            156                           116                           43                            159                           112                           40                            152                           106                           44                            150                           61                            20                            81                            39                            14                            53                            37                            24                            61                            19                            3                             22                            23                            11                            34                            16                            4                             20                            35                            10                            45                            18                            14                            32                            25                            9                             34                            41                            13                            54                            17                            2                             19                            11                            4                             15                            16                            3                             19                            14                            3                             17                            10                            2                             12                            8                             1                             9                             6                             2                             8                             0                             0                             0                             2049                          
1508 CIN 15-H                 1192                          338                           141                           479                           282                           130                           412                           315                           120                           435                           332                           130                           462                           389                           146                           535                           274                           112                           386                           299                           116                           415                           300                           116                           416                           243                           104                           347                           210                           71                            281                           102                           36                            138                           76                            23                            99                            60                            17                            77                            80                            25                            105                           58                            22                            80                            114                           39                            153                           30                            9                             39                            46                            14                            60                            153                           39                            192                           43                            11                            54                            9                             5                             14                            39                            10                            49                            30                            5                             35                            23                            1                             24                            15                            5                             20                            17                            6                             23                            2                             1                             3                             5333                          
1509 CIN 15-I                 988                           175                           78                            253                           154                           67                            221                           154                           70                            224                           164                           70                            234                           176                           80                            256                           146                           66                            212                           135                           69                            204                           149                           69                            218                           129                           49                            178                           80                            33                            113                           48                            18                            66                            45                            9                             54                            32                            4                             36                            35                            14                            49                            24                            8                             32                            48                            22                            70                            23                            2                             25                            34                            6                             40                            44                            20                            64                            20                            6                             26                            9                             2                             11                            23                            4                             27                            25                            1                             26                            16                            0                             16                            6                             1                             7                             9                             0                             9                             1                             0                             1                             2672                          
1510 CIN 15-J                 772                           87                            44                            131                           80                            44                            124                           87                            39                            126                           74                            29                            103                           65                            33                            98                            55                            28                            83                            53                            23                            76                            48                            22                            70                            61                            26                            87                            22                            22                            44                            24                            11                            35                            49                            28                            77                            5                             2                             7                             15                            8                             23                            9                             4                             13                            5                             5                             10                            28                            15                            43                            19                            11                            30                            2                             5                             7                             22                            9                             31                            20                            3                             23                            2                             5                             7                             8                             4                             12                            9                             3                             12                            5                             1                             6                             7                             4                             11                            1                             0                             1                             1290                          
1601 CIN 16-A                 1320                          101                           33                            134                           100                           28                            128                           114                           38                            152                           97                            33                            130                           101                           32                            133                           91                            34                            125                           85                            30                            115                           85                            34                            119                           76                            30                            106                           72                            19                            91                            36                            7                             43                            46                            9                             55                            27                            10                            37                            26                            4                             30                            15                            8                             23                            17                            4                             21                            32                            2                             34                            21                            6                             27                            16                            5                             21                            20                            4                             24                            18                            1                             19                            12                            1                             13                            6                             2                             8                             18                            2                             20                            8                             1                             9                             6                             2                             8                             0                             0                             0                             1625                          
1701 CIN 17-A                 1532                          204                           28                            232                           225                           27                            252                           211                           27                            238                           149                           22                            171                           172                           24                            196                           144                           18                            162                           124                           14                            138                           129                           18                            147                           143                           15                            158                           80                            9                             89                            76                            13                            89                            119                           13                            132                           22                            4                             26                            27                            2                             29                            22                            4                             26                            16                            3                             19                            107                           10                            117                           26                            1                             27                            12                            2                             14                            35                            9                             44                            99                            7                             106                           9                             1                             10                            12                            2                             14                            26                            1                             27                            14                            1                             15                            27                            2                             29                            0                             0                             0                             2507                          
1702 CIN 17-B                 1575                          221                           66                            287                           199                           65                            264                           216                           63                            279                           217                           60                            277                           227                           63                            290                           201                           61                            262                           205                           58                            263                           196                           61                            257                           194                           51                            245                           92                            26                            118                           52                            13                            65                            46                            18                            64                            28                            8                             36                            36                            15                            51                            32                            9                             41                            35                            13                            48                            21                            9                             30                            16                            5                             21                            16                            10                            26                            12                            5                             17                            26                            4                             30                            21                            4                             25                            18                            6                             24                            21                            3                             24                            2                             4                             6                             5                             1                             6                             0                             1                             1                             3057                          
1703 CIN 17-C                 1144                          155                           30                            185                           143                           29                            172                           146                           26                            172                           127                           30                            157                           131                           27                            158                           115                           21                            136                           103                           23                            126                           115                           19                            134                           115                           21                            136                           69                            13                            82                            66                            8                             74                            69                            13                            82                            39                            6                             45                            36                            1                             37                            31                            1                             32                            42                            7                             49                            44                            7                             51                            34                            2                             36                            29                            0                             29                            30                            5                             35                            30                            3                             33                            16                            1                             17                            12                            3                             15                            12                            1                             13                            9                             0                             9                             7                             1                             8                             0                             0                             0                             2023                          
1801 CIN 18-A                 1026                          139                           36                            175                           130                           35                            165                           130                           26                            156                           109                           28                            137                           108                           31                            139                           98                            24                            122                           91                            23                            114                           91                            19                            110                           112                           26                            138                           44                            8                             52                            39                            4                             43                            75                            18                            93                            17                            2                             19                            14                            4                             18                            14                            1                             15                            20                            1                             21                            49                            13                            62                            23                            2                             25                            11                            4                             15                            17                            5                             22                            40                            3                             43                            11                            1                             12                            15                            0                             15                            12                            3                             15                            11                            0                             11                            8                             3                             11                            0                             0                             0                             1748                          
1802 CIN 18-B                 753                           42                            12                            54                            42                            14                            56                            54                            11                            65                            35                            13                            48                            35                            9                             44                            22                            12                            34                            22                            7                             29                            23                            11                            34                            27                            10                            37                            23                            5                             28                            19                            2                             21                            36                            6                             42                            13                            1                             14                            6                             0                             6                             7                             1                             8                             6                             0                             6                             33                            3                             36                            14                            0                             14                            3                             0                             3                             16                            2                             18                            32                            4                             36                            4                             0                             4                             4                             1                             5                             10                            1                             11                            8                             0                             8                             5                             1                             6                             1                             0                             1                             668                           
1901 CIN 19-A                 985                           93                            8                             101                           88                            7                             95                            89                            7                             96                            90                            7                             97                            100                           10                            110                           102                           8                             110                           99                            8                             107                           80                            7                             87                            82                            7                             89                            171                           20                            191                           161                           19                            180                           36                            5                             41                            108                           17                            125                           61                            7                             68                            95                            15                            110                           86                            8                             94                            18                            0                             18                            33                            6                             39                            39                            6                             45                            17                            0                             17                            9                             1                             10                            35                            4                             39                            14                            0                             14                            23                            0                             23                            18                            0                             18                            18                            2                             20                            0                             0                             0                             1944                          
1902 CIN 19-B                 1320                          152                           10                            162                           161                           7                             168                           141                           9                             150                           134                           8                             142                           172                           9                             181                           179                           9                             188                           166                           11                            177                           147                           9                             156                           116                           6                             122                           318                           21                            339                           305                           19                            324                           50                            8                             58                            197                           10                            207                           137                           6                             143                           164                           9                             173                           151                           13                            164                           50                            0                             50                            51                            3                             54                            66                            8                             74                            33                            2                             35                            15                            1                             16                            46                            5                             51                            19                            0                             19                            21                            0                             21                            42                            0                             42                            31                            2                             33                            1                             0                             1                             3250                          
